"activity_period","aircraft_body_type","aircraft_manufacturer","aircraft_model","aircraft_version","geo_region","geo_summary","landing_aircraft_type","landing_count","operating_airline","operating_airline_iata_code","published_airline","published_airline_iata_code","total_landed_weight"
"200507","Wide Body","Boeing","747","400","Asia","International","Passenger","31","Cathay Pacific","CX","Cathay Pacific","CX","19530000"
"200507","Wide Body","Boeing","747","400","Asia","International","Passenger","39","China Airlines","CI","China Airlines","CI","24570000"
"200507","Wide Body","Boeing","747",,"Asia","International","Freighter","27","China Airlines","CI","China Airlines","CI","17982000"
"200507","Wide Body","McDonnell Douglas","MD-11",,"Asia","International","Freighter","13","China Cargo Airlines","CK","China Cargo Airlines","CK","6129500"
"200507","Narrow Body","Boeing","737","800","US","Domestic","Passenger","190","Delta Air Lines","DL","Delta Air Lines","DL","27360000"
"200507","Narrow Body","Boeing","757",,"US","Domestic","Passenger","172","Delta Air Lines","DL","Delta Air Lines","DL","34056000"
"200507","Wide Body","Boeing","767","200","US","Domestic","Passenger","45","Delta Air Lines","DL","Delta Air Lines","DL","12150000"
"200507","Wide Body","Boeing","767","300","US","Domestic","Passenger","59","Delta Air Lines","DL","Delta Air Lines","DL","17405000"
"200507","Wide Body","Boeing","767","300ER","US","Domestic","Passenger","24","Delta Air Lines","DL","Delta Air Lines","DL","7680000"
"200507","Wide Body","Boeing","767","400","US","Domestic","Passenger","62","Delta Air Lines","DL","Delta Air Lines","DL","21700000"
"200507","Wide Body","Boeing","747","400","Asia","International","Combi","57","EVA Airways","BR","EVA Airways","BR","35853000"
"200507","Wide Body","McDonnell Douglas","MD-11","0","Asia","International","Passenger","4","EVA Airways","BR","EVA Airways","BR","1884000"
"200507","Wide Body","Boeing","747","100","US","Domestic","Freighter","1","Evergreen International Airlines","EZ","Evergreen International Airlines","EZ","585000"
"200507","Wide Body","McDonnell Douglas","DC-10","10","US","Domestic","Freighter","46","Federal Express","FX","Federal Express","FX","17250000"
"200507","Wide Body","McDonnell Douglas","DC-10","30","US","Domestic","Freighter","1","Federal Express","FX","Federal Express","FX","436000"
"200507","Wide Body","McDonnell Douglas","MD-11",,"US","Domestic","Freighter","20","Federal Express","FX","Federal Express","FX","9630000"
"200507","Narrow Body","Airbus","A318",,"US","Domestic","Passenger","28","Frontier Airlines","F9","Frontier Airlines","F9","3458000"
"200507","Narrow Body","Airbus","A319",,"US","Domestic","Passenger","147","Frontier Airlines","F9","Frontier Airlines","F9","19771500"
"200507","Wide Body","Boeing","767","300","US","Domestic","Passenger","31","Hawaiian Airlines","HA","Hawaiian Airlines","HA","9920000"
"200507","Regional Jet","Bombardier","CRJ","700","US","Domestic","Passenger","93","Horizon Air ","QX","Alaska Airlines","AS","6231000"
"200507","Wide Body","Boeing","767","300ER","Europe","International","Passenger","17","Icelandair","FI","Icelandair","FI","5440000"
"200507","Narrow Body","Airbus","A319",,"US","Domestic","Passenger","93","Independence Air","DH","Independence Air","DH","12815400"
"200507","Wide Body","Boeing","747","200","Asia","International","Freighter","50","Japan Airlines","JL","Japan Airlines","JL","31500000"
"200507","Wide Body","Boeing","747","400","Asia","International","Passenger","31","Japan Airlines","JL","Japan Airlines","JL","19530000"
"200507","Wide Body","Boeing","777","200","Europe","International","Passenger","31","KLM Royal Dutch Airlines","KL","KLM Royal Dutch Airlines","KL","14570000"
"200507","Wide Body","Boeing","747","200","US","Domestic","Freighter","9","Kalitta Air","K4","Kalitta Air","K4","5670000"
"200507","Narrow Body","Boeing","727","200","US","Domestic","Freighter","11","Kitty Hawk Air Cargo","KR","Kitty Hawk Air Cargo","KR","1754000"
"200507","Narrow Body","Boeing","737","300","US","Domestic","Freighter","14","Kitty Hawk Air Cargo","KR","Kitty Hawk Air Cargo","KR","1632400"
"200507","Wide Body","Boeing","747","400","Asia","International","Freighter","8","Korean Air Lines","KE","Korean Air Lines","KE","5224000"
"200507","Wide Body","Boeing","747",,"Asia","International","Freighter","19","Korean Air Lines","KE","Korean Air Lines","KE","12388000"
"200507","Wide Body","Boeing","777","200","Asia","International","Passenger","22","Korean Air Lines","KE","Korean Air Lines","KE","10120000"
"200507","Wide Body","Boeing","747","430","Europe","International","Passenger","31","Lufthansa German Airlines","LH","Lufthansa German Airlines","LH","19530000"
